,ts,vs,us
324,8.13,4.027152171925959,0.25
325,8.15,4.0405007334958585,0.25
326,8.18,4.053886694613965,0.25
327,8.2,4.068539446852488,0.25
328,8.23,4.08476986351912,0.25
329,8.25,4.100101891545927,0.25
330,8.28,4.114382731754343,0.25
331,8.3,4.128222405603402,0.25
332,8.33,4.141930784330266,0.25
333,8.35,4.156975125441991,0.25
334,8.38,4.17212259475453,0.25
335,8.4,4.186671782715475,0.25
336,8.43,4.201038575382142,0.25
337,8.45,4.215146954437557,0.25
338,8.48,4.2301036038040465,0.25
339,8.5,4.244298745891931,0.25
340,8.53,4.258902109198806,0.25
341,8.55,4.273297535203756,0.25
342,8.58,4.28809333894668,0.25
343,8.6,4.301990978297774,0.25
344,8.63,4.316732030634927,0.25
345,8.65,4.331128914840838,0.25
346,8.68,4.345743557239268,0.25
347,8.7,4.360163806341054,0.0
348,8.73,4.383482890106979,0.0
349,8.75,4.397808456907862,0.0
350,8.78,4.371563641820639,0.0
351,8.8,4.333531787952573,0.0
352,8.83,4.317079121887939,0.0
353,8.85,4.329941026013533,0.0
354,8.88,4.349163950855643,0.0
355,8.9,4.349951772718921,0.0
356,8.93,4.3291716263537605,0.0
357,8.95,4.305611899149752,0.0
358,8.98,4.297396547022556,0.0
359,9.0,4.304688213514518,0.0
360,9.03,4.312639162469107,0.0
361,9.05,4.308080072455471,0.0
362,9.08,4.292465848766764,0.0
363,9.1,4.277906532875965,0.0
364,9.13,4.272966766090258,0.0
365,9.15,4.275755623082181,0.0
366,9.18,4.277230811360531,0.0
367,9.2,4.2706870815088065,0.0
368,9.23,4.259191092792195,0.0
369,9.25,4.2493598324200885,0.0
370,9.28,4.245522032989337,0.0
371,9.3,4.24525773057481,0.0
372,9.33,4.242829057541216,0.0
373,9.35,4.236179834741105,0.0
374,9.38,4.227034894828183,0.0
375,9.4,4.21967255532266,0.0
376,9.43,4.216032464959054,0.0
377,9.45,4.213875884441121,0.0
378,9.48,4.2098204946087865,0.0
379,9.5,4.202944851010678,0.0
380,9.53,4.195287877013102,0.0
381,9.55,4.189469545374899,0.0
382,9.58,4.185680565413791,0.0
383,9.6,4.182392731783664,0.0
384,9.63,4.177511028057697,0.0
385,9.65,4.171137086493545,0.0
386,9.68,4.164076393785019,0.0
387,9.7,4.158492151546281,0.0
388,9.73,4.154737456158075,0.0
389,9.75,4.1509809893016305,0.0
390,9.78,4.145930821184511,0.0
391,9.8,4.139466159331676,0.0
392,9.83,4.133174933769621,0.0
393,9.85,4.127756162606689,0.0
394,9.88,4.123621112993631,0.0
395,9.9,4.119441848822676,0.0
396,9.93,4.114181193806583,0.0
397,9.95,4.1084748620582765,0.0
398,9.98,4.102565566675461,0.0
399,10.0,4.097372801355217,0.0
